job_id	operator	deleg_ops
w0:142	_pdist_forward	0
w0:144	clone	1
w0:145	logical_not	1
w0:146	reflection_pad1d.out	6
w0:147	arange.out	1
w0:148	fmod.Tensor_out	1
w0:149	sin.out	1
w0:150	_cdist_forward	0
w0:151	mul.Scalar	1
w0:152	sub.Scalar	0
w0:153	atan2.out	0
w0:155	log.out	1
w0:158	bitwise_xor.Scalar	0
w0:159	tan.out	1
w0:160	replication_pad2d.out	6
w0:34	ge.Tensor_out	2
w0:54	amax.out	1
w0:164	cumsum.out	1
w0:165	reflection_pad2d.out	14
w0:166	any.dims_out	0
w0:168	clamp.Tensor_out	1
w0:169	any.dims_out	1
w0:170	where.self_out	1
w0:171	_fft_r2c	0
w0:172	prod.out	1
w0:174	logical_and.out	1
w0:175	log2.out	2
w0:176	native_layer_norm	1
w0:177	copy	1
w0:179	slice_scatter	1
w0:180	_native_batch_norm_legit_no_training	1
w0:181	pixel_unshuffle	5
w0:182	rsqrt.out	1
w0:183	t_copy	2
w0:184	abs.out	1
w0:185	var.correction	1
w0:186	logical_xor.out	1
w0:187	logit	11
w0:189	ceil.out	1
w0:190	add.Scalar	1
w0:191	leaky_relu.out	1
w0:192	log10.out	1
w0:193	clamp.out	1
w0:194	argmax.out	1
w0:195	_upsample_bilinear2d_aa.out	0
w0:196	bitwise_right_shift.Tensor_Scalar	0
w0:197	floor_divide.out	1
w0:198	log1p.out	1
w0:199	_softmax.out	1
w0:200	masked_scatter	0
w0:202	unbind_copy.int	0
w0:204	gt.Scalar_out	2
w0:205	var_mean.correction	1
w0:206	floor_divide	1
w0:207	any.all_out	1
w0:209	addmm.out	1
w0:210	bitwise_left_shift.Tensor_Scalar_out	0
w0:211	exp.out	2
w0:212	prod	1
w0:215	max.unary_out	1
w0:216	logical_xor	0
w0:217	ne.Tensor_out	2
w0:219	bitwise_or.Tensor_out	2
w0:220	unfold_copy	1
w0:221	acos.out	1
w0:222	bitwise_left_shift.Tensor_out	0
w0:223	bitwise_xor.Tensor_out	1
w0:224	tril.out	8
w0:225	elu.out	1
w0:226	prod.int_out	2
w0:227	min.unary_out	1
w0:228	pixel_unshuffle	5
w0:229	bitwise_and.Scalar_out	1
w0:230	expand_copy	2
w0:231	_adaptive_avg_pool2d	1
w0:232	narrow_copy	0
w0:233	bitwise_right_shift.Tensor_out	1
w0:234	pow.Tensor_Scalar_out	1
w0:235	remainder.Scalar	0
w0:237	bitwise_left_shift.Tensor_Scalar	0
w0:238	replication_pad3d.out	9
w0:239	bitwise_and.Scalar	1
w0:240	logical_and	0
w0:241	neg.out	1
w0:242	slice_copy.Tensor	1
w0:243	relu	1
w0:244	mean.dtype_out	1
w0:245	sub.out	1
w0:247	constant_pad_nd	1
w0:251	_native_batch_norm_legit.no_stats	1
w0:252	pow.Tensor_Tensor_out	1
w0:253	replication_pad1d.out	3
w0:254	tanh.out	1
w0:258	flip	1
w0:259	ge.Scalar_out	2
w0:260	alias_copy	2
w0:261	atanh.out	1
w0:262	remainder.Scalar_out	0
w0:263	lift_fresh_copy	1
w0:264	select_copy.int	1
w0:265	ge.Tensor_out	2
w0:266	bitwise_right_shift.Tensor_Scalar_out	1
w0:267	maximum.out	1
w0:268	div.Scalar	1
w0:270	transpose_copy.int	2
w0:271	hardtanh	1
w0:272	roll	6
w0:273	div.out_mode	1
w0:275	min	1
w0:276	permute_copy	1
w0:277	mm.out	1
w0:278	sqrt.out	1
w0:279	repeat	1
w0:281	eq.Scalar_out	2
w0:282	asinh.out	1
w0:283	narrow_copy	0
w0:284	expm1.out	0
w0:285	amax.out	1
w0:286	logical_not.out	2
w0:287	convolution	1
w0:289	glu.out	6
w0:290	logical_or	0
w0:291	remainder.Tensor_out	0
w0:292	native_group_norm	1
w0:293	squeeze_copy.dims	2
w0:294	le.Scalar_out	2
w0:296	topk.values	3
w0:297	floor.out	1
w0:298	lt.Tensor_out	2
w0:300	round.out	0
w0:301	cos.out	1
w0:302	linear	6
w0:303	sinh.out	1
w0:304	lt.Scalar_out	2
w0:307	mul.out	1
w0:308	hardtanh.out	1
w0:309	view_copy	1
w0:310	fmod.Scalar_out	1
w0:311	abs	1
w0:312	sign.out	1
w0:313	detach_copy	0
w0:314	zeros.out	1
w0:316	split_copy.Tensor	0
w0:317	minimum.out	1
w0:320	eq.Tensor_out	2
w0:322	native_layer_norm	1
w0:323	ones.out	1
w0:324	var.correction_out	1
w0:325	index_put	2
w0:328	reciprocal.out	1
w0:329	diagonal_copy	1
w0:331	index.Tensor_out	2
w0:332	full.out	1
w0:333	masked_fill.Scalar	2
w0:334	fill.Scalar	1
w0:335	bitwise_not.out	1
w0:336	narrow_copy.out	0
w0:338	isinf	1
w0:339	mean	1
w0:340	squeeze_copy.dim	2
w0:341	split_with_sizes_copy	2
w0:342	bitwise_or.Scalar_out	0
w0:343	div.Scalar_mode	0
w0:344	argmin.out	1
w0:345	gt.Tensor_out	2
w0:346	min.dim_min	3
w0:347	stack	2
w0:348	gelu.out	1
w0:350	bmm.out	1
w0:351	le.Tensor_out	2
w0:352	reflection_pad2d	14
w0:353	sigmoid.out	1
w0:354	trunc.out	0
w0:355	asin.out	1
w0:356	bitwise_or.Scalar	0
w0:357	select_scatter	6
w0:358	acosh.out	1
w0:359	pow.Scalar_out	1
w0:360	where.self	1
w0:362	fmod.Scalar	1
w0:363	max.dim_max	3
w0:364	logical_or.out	1
w0:365	atan.out	0
w0:366	unsqueeze_copy	2
w0:367	max	1
w0:368	_log_softmax.out	1
w0:369	ne.Scalar_out	1
w0:370	native_group_norm	1
w0:371	cosh.out	1
w0:372	div.out	1
w0:373	_pdist_forward	0
w0:375	clone	1
w0:376	logical_not	1
w0:377	reflection_pad1d.out	6
w0:378	arange.out	1
w0:379	fmod.Tensor_out	1
w0:380	sin.out	1
w0:381	_cdist_forward	0
w0:382	mul.Scalar	1
w0:383	sub.Scalar	0
w0:384	atan2.out	0
w0:386	log.out	1
w0:389	bitwise_xor.Scalar	0
w0:390	tan.out	1
w0:391	replication_pad2d.out	6
w0:394	max_pool2d_with_indices_backward.grad_input	1
w0:395	cumsum.out	1
w0:396	reflection_pad2d.out	14
w0:397	any.dims_out	0
w0:399	clamp.Tensor_out	2
w0:400	any.dims_out	0
w0:401	where.self_out	1
w0:402	_fft_r2c	0
w0:404	erf.out	1
w0:405	logical_and.out	1
w0:406	log2.out	1
w0:407	native_layer_norm	1
w0:410	slice_scatter	1
w0:411	_native_batch_norm_legit_no_training	1
w0:412	pixel_unshuffle	4
w0:413	rsqrt.out	1
w0:414	t_copy	2
w0:415	abs.out	1
w0:416	var.correction	1
w0:417	logical_xor.out	1
w0:418	logit	12
w0:419	bitwise_and.Tensor_out	1
w0:420	ceil.out	1
w0:421	add.Scalar	1
w0:422	leaky_relu.out	1
w0:423	log10.out	1
w0:424	clamp.out	1
w0:425	argmax.out	1
w0:426	_upsample_bilinear2d_aa.out	0
w0:427	bitwise_right_shift.Tensor_Scalar	0
w0:428	floor_divide.out	1
w0:429	log1p.out	1
w0:430	_softmax.out	1
w0:431	masked_scatter	0
w0:432	linear.out	6
w0:433	unbind_copy.int	0
w0:435	gt.Scalar_out	2
w0:436	var_mean.correction	1
w0:437	floor_divide	1
w0:438	any.all_out	1
w0:441	bitwise_left_shift.Tensor_Scalar_out	1
w0:442	exp.out	1
w0:443	prod	1
w0:446	max.unary_out	1
w0:447	logical_xor	0
w0:448	ne.Tensor_out	2
w0:450	bitwise_or.Tensor_out	1
w0:451	unfold_copy	1
w0:452	acos.out	1
w0:453	bitwise_left_shift.Tensor_out	0
w0:455	tril.out	8
w0:457	prod.int_out	2
w0:458	min.unary_out	2
w0:459	pixel_unshuffle	4
w0:460	bitwise_and.Scalar_out	2
w0:461	expand_copy	2
w0:462	_adaptive_avg_pool2d	1
w0:463	narrow_copy	0
w0:464	bitwise_right_shift.Tensor_out	0
w0:465	pow.Tensor_Scalar_out	1
w0:466	remainder.Scalar	0
w0:467	grid_sampler_2d	1
w0:468	bitwise_left_shift.Tensor_Scalar	0
w0:469	replication_pad3d.out	9
w0:470	bitwise_and.Scalar	1
w0:471	logical_and	0
w0:472	neg.out	1
w0:473	slice_copy.Tensor	1
w0:474	relu	1
w0:475	mean.dtype_out	1
w0:476	sub.out	1
w0:477	isnan	1
w0:478	constant_pad_nd	1
w0:482	_native_batch_norm_legit.no_stats	1
w0:483	pow.Tensor_Tensor_out	1
w0:484	replication_pad1d.out	3
w0:485	tanh.out	1
w0:489	flip	1
w0:490	ge.Scalar_out	2
w0:491	alias_copy	2
w0:492	atanh.out	1
w0:494	lift_fresh_copy	1
w0:495	select_copy.int	1
w0:496	ge.Tensor_out	2
w0:497	bitwise_right_shift.Tensor_Scalar_out	1
w0:498	maximum.out	1
w0:499	div.Scalar	1
w0:501	transpose_copy.int	2
w0:502	hardtanh	1
w0:503	roll	6
w0:504	div.out_mode	1
w0:506	min	1
w0:507	permute_copy	1
w0:508	mm.out	1
w0:509	sqrt.out	1
w0:510	repeat	1
w0:512	eq.Scalar_out	2
w0:513	asinh.out	1
w0:514	narrow_copy	0
w0:515	expm1.out	0
w0:516	amax.out	1
w0:517	logical_not.out	2
w0:518	convolution	1
w0:520	glu.out	7
w0:521	logical_or	0
w0:524	squeeze_copy.dims	2
w0:528	floor.out	1
w0:529	lt.Tensor_out	2
w0:530	amin.out	1
w0:531	round.out	0
w0:532	cos.out	1
w0:533	linear	3
w0:534	sinh.out	1
w0:535	lt.Scalar_out	2
w0:538	mul.out	1
w0:539	hardtanh.out	1
w0:540	view_copy	1
w0:541	fmod.Scalar_out	1
w0:542	abs	1
w0:543	sign.out	1
w0:544	detach_copy	0
w0:545	zeros.out	1
w0:547	split_copy.Tensor	0
w0:548	minimum.out	1
w0:549	bitwise_xor.Scalar_out	0
w0:551	eq.Tensor_out	2
w0:553	native_layer_norm	1
w0:554	ones.out	1
w0:555	var.correction_out	2
w0:556	index_put	2
w0:557	sum.IntList_out	1
w0:558	logit.out	12
w0:559	reciprocal.out	1
w0:560	diagonal_copy	1
w0:562	index.Tensor_out	2
w0:563	full.out	1
w0:564	masked_fill.Scalar	2
w0:565	fill.Scalar	1
w0:566	bitwise_not.out	1
w0:567	narrow_copy.out	0
w0:569	isinf	1
w0:570	mean	1
w0:571	squeeze_copy.dim	2
w0:572	split_with_sizes_copy	2
w0:573	bitwise_or.Scalar_out	1
w0:574	div.Scalar_mode	0
w0:575	argmin.out	1
w0:576	gt.Tensor_out	2
w0:577	min.dim_min	3
w0:578	stack	2
w0:579	gelu.out	1
w0:580	rsub.Scalar	2
w0:581	bmm.out	1
w0:582	le.Tensor_out	2
w0:583	reflection_pad2d	12
w0:584	sigmoid.out	1
w0:585	trunc.out	0
w0:586	asin.out	1
w0:587	bitwise_or.Scalar	0
w0:588	select_scatter	6
w0:589	acosh.out	1
w0:590	pow.Scalar_out	1
w0:591	where.self	1
w0:593	fmod.Scalar	1
w0:594	max.dim_max	3
w0:595	logical_or.out	1
w0:596	atan.out	0
w0:597	unsqueeze_copy	2
w0:598	max	1
w0:599	_log_softmax.out	1
w0:600	ne.Scalar_out	2
w0:602	cosh.out	2
w0:603	div.out	1
w0:604	_pdist_forward	0
w0:606	clone	1
w0:607	logical_not	1
w0:608	reflection_pad1d.out	6
w0:609	arange.out	1
w0:610	fmod.Tensor_out	1
w0:611	sin.out	1
w0:612	_cdist_forward	0
w0:613	mul.Scalar	1
w0:614	sub.Scalar	0
w0:615	atan2.out	1
w0:617	log.out	1
w0:620	bitwise_xor.Scalar	0
w0:621	tan.out	1
w0:622	replication_pad2d.out	6
w0:625	max_pool2d_with_indices_backward.grad_input	1
w0:626	cumsum.out	1
w0:627	reflection_pad2d.out	14
w0:628	any.dims_out	0
w0:630	clamp.Tensor_out	1
w0:631	any.dims_out	0
w0:632	where.self_out	1
w0:633	_fft_r2c	0
w0:634	prod.out	1
w0:635	erf.out	1
w0:636	logical_and.out	1
w0:637	log2.out	1
w0:638	native_layer_norm	1
w0:639	copy	1
w0:641	slice_scatter	1
w0:642	_native_batch_norm_legit_no_training	1
w0:643	pixel_unshuffle	4
w0:644	rsqrt.out	1
w0:645	t_copy	2
w0:646	abs.out	1
w0:647	var.correction	1
w0:648	logical_xor.out	1
w0:649	logit	10
w0:650	bitwise_and.Tensor_out	1
w0:651	ceil.out	1
w0:652	add.Scalar	1
w0:653	leaky_relu.out	1
w0:654	log10.out	1
w0:655	clamp.out	1
w0:656	argmax.out	1
w0:657	_upsample_bilinear2d_aa.out	0
w0:658	bitwise_right_shift.Tensor_Scalar	0
w0:659	floor_divide.out	1
w0:660	log1p.out	1
w0:661	_softmax.out	1
w0:662	masked_scatter	0
w0:664	unbind_copy.int	0
w0:666	gt.Scalar_out	1
w0:667	var_mean.correction	1
w0:668	floor_divide	1
w0:669	any.all_out	1
w0:671	addmm.out	1
w0:672	bitwise_left_shift.Tensor_Scalar_out	1
w0:673	exp.out	1
w0:674	prod	1
w0:677	max.unary_out	2
w0:678	logical_xor	0
w0:679	ne.Tensor_out	2
w0:682	unfold_copy	1
w0:683	acos.out	1
w0:684	bitwise_left_shift.Tensor_out	0
w0:686	tril.out	8
w0:688	prod.int_out	1
w0:689	min.unary_out	2
w0:690	pixel_unshuffle	4
w0:691	bitwise_and.Scalar_out	1
w0:692	expand_copy	2
w0:693	_adaptive_avg_pool2d	1
w0:694	narrow_copy	0
w0:695	bitwise_right_shift.Tensor_out	0
w0:696	pow.Tensor_Scalar_out	2
w0:697	remainder.Scalar	0
w0:698	grid_sampler_2d	1
w0:699	bitwise_left_shift.Tensor_Scalar	0
w0:700	replication_pad3d.out	9
w0:701	bitwise_and.Scalar	1
w0:702	logical_and	0
w0:703	neg.out	1
w0:704	slice_copy.Tensor	0
w0:705	relu	1
w0:706	mean.dtype_out	2
w0:707	sub.out	1
w0:708	isnan	1
w0:709	constant_pad_nd	1
w0:713	_native_batch_norm_legit.no_stats	1
w0:714	pow.Tensor_Tensor_out	1
w0:715	replication_pad1d.out	3
w0:716	tanh.out	2
w0:718	scatter.src_out	1
w0:720	flip	1
w0:721	ge.Scalar_out	2
w0:722	alias_copy	2
w0:723	atanh.out	1
w0:724	remainder.Scalar_out	0
w0:725	lift_fresh_copy	1
w0:726	select_copy.int	1
w0:727	ge.Tensor_out	2
w0:728	bitwise_right_shift.Tensor_Scalar_out	1
w0:729	maximum.out	1
w0:730	div.Scalar	1
w0:732	transpose_copy.int	2
w0:733	hardtanh	1
w0:734	roll	6
w0:735	div.out_mode	1
w0:737	min	1
w0:738	permute_copy	1
w0:739	mm.out	1
w0:740	sqrt.out	1
w0:741	repeat	1
w0:743	eq.Scalar_out	2
w0:744	asinh.out	1
w0:745	narrow_copy	0
w0:746	expm1.out	0
w0:747	amax.out	1
w0:748	logical_not.out	2
w0:749	convolution	1
w0:751	glu.out	4
w0:752	logical_or	0
w0:753	remainder.Tensor_out	0
w0:754	native_group_norm	1
w0:755	squeeze_copy.dims	2
w0:756	le.Scalar_out	2
w0:201	linear.out	4
w0:326	sum.IntList_out	1
w0:327	logit.out	12
w0:349	rsub.Scalar	2
w0:403	prod.out	1
w0:523	native_group_norm	1
w0:527	topk.values	3
w0:601	native_group_norm	1
w0:663	linear.out	4
w0:676	scatter_add.out	0
w0:759	floor.out	1
w0:760	lt.Tensor_out	1
w0:761	amin.out	1
w0:762	round.out	0
w0:763	cos.out	1
w0:764	linear	6
w0:765	sinh.out	1
w0:766	lt.Scalar_out	2
w0:769	mul.out	1
w0:770	hardtanh.out	1
w0:771	view_copy	1
w0:772	fmod.Scalar_out	1
w0:773	abs	1
w0:774	sign.out	1
w0:775	detach_copy	0
w0:776	zeros.out	1
w0:778	split_copy.Tensor	0
w0:779	minimum.out	1
w0:780	bitwise_xor.Scalar_out	1
w1:0	max.dim_max	3
w1:1	logical_or.out	0
w1:2	atan.out	0
w1:3	unsqueeze_copy	2
w1:4	max	1
w1:6	ne.Scalar_out	2
w1:7	native_group_norm	1
w1:8	cosh.out	1
w1:9	div.out	1
w1:10	_pdist_forward	0
w1:12	clone	1
w1:13	logical_not	1
w1:14	reflection_pad1d.out	6
w1:15	arange.out	1
w1:16	fmod.Tensor_out	1
w1:17	sin.out	1
w1:18	_cdist_forward	0
w1:19	mul.Scalar	1
w1:20	sub.Scalar	0
w1:21	atan2.out	0
w1:23	log.out	1
w1:26	bitwise_xor.Scalar	0
w1:27	tan.out	1
w1:28	replication_pad2d.out	6
w1:32	cumsum.out	1
w1:33	reflection_pad2d.out	14
w1:34	any.dims_out	0
w1:36	clamp.Tensor_out	2
w1:37	any.dims_out	0
w1:38	where.self_out	1
w1:39	_fft_r2c	0
w1:40	prod.out	1
w1:41	erf.out	1
w1:42	logical_and.out	1
w1:43	log2.out	1
w1:44	native_layer_norm	1
w1:47	slice_scatter	1
w1:48	_native_batch_norm_legit_no_training	1
w1:49	pixel_unshuffle	4
w1:50	rsqrt.out	1
w1:51	t_copy	2
w1:52	abs.out	1
w1:53	var.correction	1
w1:54	logical_xor.out	1
w1:55	logit	11
w1:56	bitwise_and.Tensor_out	2
w1:57	ceil.out	1
w1:58	add.Scalar	1
w1:59	leaky_relu.out	1
w1:60	log10.out	1
w1:61	clamp.out	1
w1:62	argmax.out	1
w1:63	_upsample_bilinear2d_aa.out	0
w1:64	bitwise_right_shift.Tensor_Scalar	0
w1:65	floor_divide.out	1
w1:66	log1p.out	1
w1:67	_softmax.out	1
w1:68	masked_scatter	0
w1:70	unbind_copy.int	0
w1:72	gt.Scalar_out	1
w1:73	var_mean.correction	1
w1:74	floor_divide	1
w1:75	any.all_out	1
w1:77	addmm.out	1
w1:78	bitwise_left_shift.Tensor_Scalar_out	1
w1:79	exp.out	1
w1:80	prod	1
w1:82	scatter_add.out	0
w1:83	max.unary_out	2
w1:84	logical_xor	0
w1:85	ne.Tensor_out	2
w1:87	bitwise_or.Tensor_out	2
w1:88	unfold_copy	1
w1:89	acos.out	1
w1:90	bitwise_left_shift.Tensor_out	1
w1:91	bitwise_xor.Tensor_out	2
w1:92	tril.out	8
w1:95	min.unary_out	1
w1:96	pixel_unshuffle	4
w1:98	expand_copy	2
w1:99	_adaptive_avg_pool2d	1
w1:100	narrow_copy	0
w1:101	bitwise_right_shift.Tensor_out	0
w1:102	pow.Tensor_Scalar_out	1
w1:103	remainder.Scalar	0
w1:105	bitwise_left_shift.Tensor_Scalar	0
w1:106	replication_pad3d.out	9
w1:107	bitwise_and.Scalar	1
w1:108	logical_and	0
w1:109	neg.out	1
w1:110	slice_copy.Tensor	1
w1:111	relu	1
w1:112	mean.dtype_out	1
w1:113	sub.out	1
w1:114	isnan	1
w1:115	constant_pad_nd	1
w1:119	_native_batch_norm_legit.no_stats	1
w1:120	pow.Tensor_Tensor_out	1
w1:121	replication_pad1d.out	3
w1:122	tanh.out	1
w1:126	flip	1
w1:127	ge.Scalar_out	1
w1:128	alias_copy	2
w1:129	atanh.out	1
w1:130	remainder.Scalar_out	0
w1:131	lift_fresh_copy	1
w1:132	select_copy.int	1
w1:133	ge.Tensor_out	2
w1:134	bitwise_right_shift.Tensor_Scalar_out	1
w1:135	maximum.out	1
w1:136	div.Scalar	1
w1:138	transpose_copy.int	2
w1:139	hardtanh	1
w1:140	roll	5
w1:141	div.out_mode	1
w1:143	min	1
w1:144	permute_copy	1
w1:145	mm.out	1
w1:146	sqrt.out	1
w1:147	repeat	1
w1:149	eq.Scalar_out	1
w1:150	asinh.out	1
w1:151	narrow_copy	0
w1:152	expm1.out	0
w1:154	logical_not.out	2
w1:155	convolution	1
w1:157	glu.out	7
w1:158	logical_or	0
w1:159	remainder.Tensor_out	0
w1:161	squeeze_copy.dims	2
w1:162	le.Scalar_out	2
w1:164	topk.values	3
w1:165	floor.out	1
w1:166	lt.Tensor_out	2
w1:167	amin.out	1
w1:168	round.out	0
w1:169	cos.out	1
w1:170	linear	4
w1:171	sinh.out	1
w1:172	lt.Scalar_out	2
w1:175	mul.out	1
w1:176	hardtanh.out	1
w1:177	view_copy	1
w1:178	fmod.Scalar_out	1
w1:179	abs	1
w1:180	sign.out	1
w1:181	detach_copy	0
w1:182	zeros.out	1
w1:184	split_copy.Tensor	0
w1:185	minimum.out	1
w1:186	bitwise_xor.Scalar_out	0
w1:188	eq.Tensor_out	2
w1:190	native_layer_norm	1
w1:191	ones.out	1
w1:192	var.correction_out	2
w1:193	index_put	2
w1:194	sum.IntList_out	1
w1:195	logit.out	12
w1:196	reciprocal.out	1
w1:197	diagonal_copy	1
w1:199	index.Tensor_out	2
w1:200	full.out	1
w1:201	masked_fill.Scalar	2
w1:202	fill.Scalar	1
w1:203	bitwise_not.out	1
w1:204	narrow_copy.out	0
w1:206	isinf	1
w1:207	mean	1
w1:208	squeeze_copy.dim	2
w1:209	split_with_sizes_copy	2
w1:210	bitwise_or.Scalar_out	1
w1:211	div.Scalar_mode	0
w1:212	argmin.out	1
w1:213	gt.Tensor_out	2
w1:214	min.dim_min	3
w1:215	stack	2
w1:216	gelu.out	1
w1:217	rsub.Scalar	2
w1:218	bmm.out	1
w1:219	le.Tensor_out	2
w1:220	reflection_pad2d	14
w1:221	sigmoid.out	1
w1:222	trunc.out	0
w1:223	asin.out	1
w1:224	bitwise_or.Scalar	0
w1:225	select_scatter	6
w1:226	acosh.out	1
w1:227	pow.Scalar_out	2
w1:228	where.self	1
w1:230	fmod.Scalar	1
w1:231	max.dim_max	3
w1:232	logical_or.out	1
w1:233	atan.out	0
w1:234	unsqueeze_copy	2
w1:236	_log_softmax.out	1
w1:237	ne.Scalar_out	2
w1:239	cosh.out	1
w1:240	div.out	1
w1:241	_pdist_forward	0
w1:243	clone	1
w1:244	logical_not	1
w1:245	reflection_pad1d.out	6
w1:246	arange.out	1
w1:248	sin.out	1
w1:249	_cdist_forward	0
w1:250	mul.Scalar	1
w1:251	sub.Scalar	0
w1:252	atan2.out	1
w1:254	log.out	1
w1:257	bitwise_xor.Scalar	0
w1:258	tan.out	1
w1:259	replication_pad2d.out	8
w1:153	amax.out	1
w1:238	native_group_norm	1
w1:247	fmod.Tensor_out	2
w1:263	cumsum.out	1
w1:264	reflection_pad2d.out	12
w1:265	any.dims_out	0
w1:267	clamp.Tensor_out	1
w1:268	any.dims_out	0
w1:270	_fft_r2c	0
w1:271	prod.out	1
w1:272	erf.out	1
w1:273	logical_and.out	1
w1:274	log2.out	1
w1:275	native_layer_norm	1
w1:276	copy	1
w1:278	slice_scatter	1
w1:279	_native_batch_norm_legit_no_training	1
w1:280	pixel_unshuffle	4
w1:281	rsqrt.out	1
w1:282	t_copy	2
w1:283	abs.out	1
w1:284	var.correction	1
w1:285	logical_xor.out	1
w1:286	logit	12
w1:288	ceil.out	1
w1:289	add.Scalar	1
w1:290	leaky_relu.out	1
w1:291	log10.out	1
w1:292	clamp.out	1
w1:293	argmax.out	1
w1:294	_upsample_bilinear2d_aa.out	0
w1:295	bitwise_right_shift.Tensor_Scalar	0
w1:296	floor_divide.out	2
w1:297	log1p.out	1
w1:299	masked_scatter	0
w1:301	unbind_copy.int	0
w1:303	gt.Scalar_out	2
w1:304	var_mean.correction	1
w1:305	floor_divide	1
w1:306	any.all_out	1
w1:308	addmm.out	1
w1:309	bitwise_left_shift.Tensor_Scalar_out	0
w1:310	exp.out	1
w1:311	prod	1
w1:315	logical_xor	0
w1:316	ne.Tensor_out	2
w1:319	unfold_copy	1
w1:320	acos.out	1
w1:321	bitwise_left_shift.Tensor_out	1
w1:323	tril.out	8
w1:325	prod.int_out	2
w1:326	min.unary_out	2
w1:327	pixel_unshuffle	4
w1:328	bitwise_and.Scalar_out	1
w1:329	expand_copy	2
w1:330	_adaptive_avg_pool2d	1
w1:331	narrow_copy	0
w1:332	bitwise_right_shift.Tensor_out	1
w1:333	pow.Tensor_Scalar_out	1
w1:334	remainder.Scalar	0
w1:335	grid_sampler_2d	1
w1:336	bitwise_left_shift.Tensor_Scalar	0
w1:337	replication_pad3d.out	9
w1:338	bitwise_and.Scalar	1
w1:339	logical_and	0
w1:340	neg.out	1
w1:341	slice_copy.Tensor	1
w1:342	relu	1
w1:343	mean.dtype_out	1
w1:344	sub.out	1
w1:346	constant_pad_nd	1
w1:350	_native_batch_norm_legit.no_stats	1
w1:351	pow.Tensor_Tensor_out	1
